0,1,2,3,4,5
Month,2018,2021,2022,% change,% change
,,,,2022/21,2022/18
January,"238,924","1,682","82,327","4,794.6",(65.5)
February,"235,618","3,366","96,507","2,767.1",(59.0)
March,"233,282","4,581","106,500","2,224.8",(54.3)
April,"180,429","4,168","62,980","1,411.4",(65.1)
May,"129,466","1,497","30,207","1,917.8",(76.7)
June,"146,828","1,614","32,856","1,935.7",(77.6)
July,"217,829","2,429","47,293","1,847.1",(78.3)
August,"200,359","5,040","37,760",649.2,(81.5)
September,"149,087","13,547",-,-,
October,"153,123","22,771",-,-,
November,"195,582","44,294",-,-,
December,"253,169","89,506",-,-,
